Наименование цеха,Id,Name,Id.1,Name.1,dStart,Day,DurationInDays,OccupiedPercentage,UnavailablePercentage,TotalCapacity.1
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-07,0,1,100,100,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-07,0,1,100,99.8537476851852,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-07,0,1,100,76.6063125,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-07,0,1,100,100,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-08,1,1,100,57.3247476851852,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-08,1,1,100,14.785,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-08,1,1,82,42.6830520833333,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-08,1,1,100,40.675,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-09,2,1,100,15.682,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-09,2,1,100,32.16,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-09,2,1,41,40.675,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-09,2,1,87,14.785,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-10,3,1,82,32.16,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-10,3,1,100,40.675,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-10,3,1,54,15.682,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-10,3,1,100,14.785,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-11,4,1,100,40.675,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-11,4,1,100,66.08,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-11,4,1,100,15.682,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-11,4,1,58,14.785,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-12,5,1,56,40.675,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-12,5,1,100,32.16,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-12,5,1,100,15.682,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-12,5,1,100,50.29125,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-13,6,1,95,15.682,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-13,6,1,63,62.921875,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-13,6,1,100,32.16,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-13,6,1,100,14.785,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-14,7,1,100,50.8145,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-14,7,1,57,14.785,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-14,7,1,100,40.675,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-14,7,1,99,32.16,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-15,8,1,100,14.785,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-15,8,1,98,32.16,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-15,8,1,100,40.675,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-15,8,1,50,15.682,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-16,9,1,41,40.675,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-16,9,1,82,14.785,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-16,9,1,100,32.16,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-16,9,1,100,15.682,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-17,10,1,100,40.675,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-17,10,1,44,14.785,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-17,10,1,100,15.682,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-17,10,1,97,32.16,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-18,11,1,100,14.785,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-18,11,1,100,40.675,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-18,11,1,64,15.682,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-18,11,1,100,66.08,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-19,12,1,100,32.16,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-19,12,1,100,43.19,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-19,12,1,100,40.675,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-19,12,1,57,15.682,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-20,13,1,65,14.785,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-20,13,1,100,67.865625,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-20,13,1,100,32.16,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR4O1,УНРС-4,2021-10-20,13,1,100,15.682,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR3O1,УНРС-3,2021-10-21,14,1,100,40.675,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR6O1,УНРС-6,2021-10-21,14,1,74,14.785,4 days
06.КЦ-1,G_UNRO1,"Конвертерный цех 1 УНРС 2,3,4,6",S_UNR2O1,УНРС-2,2021-10-21,14,1,100,32.16,4 days
